bid_discount,count_linktot_in,count_linktot_out,auction_type,participated,logmiles_fiwo,logcapital,backlog_lagged,firm_type_unlim_liab,auction_id,labor,region,year
11.55,,,0,1,2.955483,,,,359670,,"PIEMONTE",2006
14.2,,,0,1,3.071952,,,,330134,,"LIGURIA",2006
9.78,,,0,1,4.36979,,,,322944,,"LOMBARDIA",2005
13.204,,,0,1,2.143589,,,1,374652,,"LOMBARDIA",2007
24.312,,,0,1,4.643092,,,,347018,,"LOMBARDIA",2006
4.08,,,0,1,,,,0,331049,,"VENETO",2006
9.708,,,0,1,,,0,0,333814,,"VENETO",2006
9.52,,,0,1,,,0,0,365625,,"VENETO",2007
9.33,,,0,1,,,0,0,371541,,"VENETO",2007
27.58,,,0,1,4.452986,,,,322936,,"EMILIA ROMAGNA",2006
16.67,,,0,1,6.487905,,,0,350628,,"LOMBARDIA",2006
18.091,,,0,1,6.602458,,0,0,354846,,"LOMBARDIA",2006
6.85,,,0,1,3.437819,,,,322935,,"EMILIA ROMAGNA",2005
12.632,,,0,1,,,0,0,365625,,"VENETO",2007
6.1,,,0,1,3.01857,,,,319995,,"LOMBARDIA",2005
16.59,,,0,1,3.104362,,,0,370624,,"LOMBARDIA",2007
18.709,,,1,1,,,,,490988,,"LOMBARDIA",2009
18.907,,,0,1,3.336445,,,0,313893,,"EMILIA ROMAGNA",2005
14.01,,,0,1,3.41128,,0,0,317937,,"EMILIA ROMAGNA",2005
17.57,,,0,1,3.336445,,0,0,319203,,"EMILIA ROMAGNA",2005
20.523,,,0,1,4.217211,,0,0,319676,,"EMILIA ROMAGNA",2005
16.927,,,0,1,3.953146,,0,0,332617,,"EMILIA ROMAGNA",2006
1.11,,,0,1,3.41128,,0,0,338940,,"EMILIA ROMAGNA",2006
21.041,,,0,1,4.217211,,0,,351204,,"EMILIA ROMAGNA",2006
23.116,,,0,1,4.217211,,0,,357882,,"EMILIA ROMAGNA",2006
14.067,,,0,1,6.713108,,,,318297,,"VENETO",2005
12.5,,,1,1,3.215349,,,,349854,,"PIEMONTE",2006
5.7,,,0,1,2.36208,,,,373150,,"LOMBARDIA",2007
